Entity,Code,Date,Total confirmed deaths due to COVID-19 (deaths),Days since the total confirmed deaths of COVID-19 reached 5
Afghanistan,AFG,"Feb 19, 2020",0,
Afghanistan,AFG,"Feb 20, 2020",0,
Afghanistan,AFG,"Feb 21, 2020",0,
Afghanistan,AFG,"Feb 22, 2020",0,
Afghanistan,AFG,"Feb 23, 2020",0,
Afghanistan,AFG,"Feb 24, 2020",0,
Afghanistan,AFG,"Feb 25, 2020",0,
Afghanistan,AFG,"Feb 26, 2020",0,
Afghanistan,AFG,"Feb 27, 2020",0,
Afghanistan,AFG,"Feb 28, 2020",0,
Afghanistan,AFG,"Feb 29, 2020",0,
Afghanistan,AFG,"Mar 1, 2020",0,
Afghanistan,AFG,"Mar 2, 2020",0,
Afghanistan,AFG,"Mar 8, 2020",0,
Afghanistan,AFG,"Mar 11, 2020",0,
Afghanistan,AFG,"Mar 15, 2020",0,
Afghanistan,AFG,"Mar 16, 2020",0,
Afghanistan,AFG,"Mar 17, 2020",0,
Afghanistan,AFG,"Mar 18, 2020",0,
Afghanistan,AFG,"Mar 19, 2020",0,
Afghanistan,AFG,"Mar 20, 2020",0,
Afghanistan,AFG,"Mar 21, 2020",0,
Afghanistan,AFG,"Mar 22, 2020",0,
Afghanistan,AFG,"Mar 23, 2020",0,
Afghanistan,AFG,"Mar 24, 2020",1,
Afghanistan,AFG,"Mar 25, 2020",1,
Afghanistan,AFG,"Mar 26, 2020",1,
Afghanistan,AFG,"Mar 27, 2020",1,
Afghanistan,AFG,"Mar 28, 2020",2,
Afghanistan,AFG,"Mar 29, 2020",3,
Albania,ALB,"Mar 9, 2020",0,
Albania,ALB,"Mar 10, 2020",0,
Albania,ALB,"Mar 11, 2020",0,
Albania,ALB,"Mar 12, 2020",1,
Albania,ALB,"Mar 13, 2020",1,
Albania,ALB,"Mar 14, 2020",1,
Albania,ALB,"Mar 15, 2020",1,
Albania,ALB,"Mar 16, 2020",1,
Albania,ALB,"Mar 17, 2020",1,
Albania,ALB,"Mar 18, 2020",1,
Albania,ALB,"Mar 19, 2020",2,
Albania,ALB,"Mar 20, 2020",2,
Albania,ALB,"Mar 21, 2020",2,
Albania,ALB,"Mar 22, 2020",2,
Albania,ALB,"Mar 23, 2020",2,
Albania,ALB,"Mar 24, 2020",4,
Albania,ALB,"Mar 25, 2020",5,0
Albania,ALB,"Mar 26, 2020",5,1
Albania,ALB,"Mar 27, 2020",6,2
Albania,ALB,"Mar 28, 2020",9,3
Albania,ALB,"Mar 29, 2020",10,4
Algeria,DZA,"Dec 31, 2019",0,
Algeria,DZA,"Jan 1, 2020",0,
Algeria,DZA,"Jan 2, 2020",0,
Algeria,DZA,"Jan 3, 2020",0,
Algeria,DZA,"Jan 4, 2020",0,
Algeria,DZA,"Jan 5, 2020",0,
Algeria,DZA,"Jan 6, 2020",0,
Algeria,DZA,"Jan 7, 2020",0,
Algeria,DZA,"Jan 8, 2020",0,
Algeria,DZA,"Jan 9, 2020",0,
Algeria,DZA,"Jan 10, 2020",0,
Algeria,DZA,"Jan 11, 2020",0,
Algeria,DZA,"Jan 12, 2020",0,
Algeria,DZA,"Jan 13, 2020",0,
Algeria,DZA,"Jan 14, 2020",0,
Algeria,DZA,"Jan 15, 2020",0,
Algeria,DZA,"Jan 16, 2020",0,
Algeria,DZA,"Jan 17, 2020",0,
Algeria,DZA,"Jan 18, 2020",0,
Algeria,DZA,"Jan 19, 2020",0,
Algeria,DZA,"Jan 20, 2020",0,
Algeria,DZA,"Jan 21, 2020",0,
Algeria,DZA,"Jan 22, 2020",0,
Algeria,DZA,"Jan 23, 2020",0,
Algeria,DZA,"Jan 24, 2020",0,
Algeria,DZA,"Jan 25, 2020",0,
Algeria,DZA,"Jan 26, 2020",0,
Algeria,DZA,"Jan 27, 2020",0,
Algeria,DZA,"Jan 28, 2020",0,
Algeria,DZA,"Jan 29, 2020",0,
Algeria,DZA,"Jan 30, 2020",0,
Algeria,DZA,"Jan 31, 2020",0,
Algeria,DZA,"Feb 1, 2020",0,
Algeria,DZA,"Feb 2, 2020",0,
Algeria,DZA,"Feb 3, 2020",0,
Algeria,DZA,"Feb 4, 2020",0,
Algeria,DZA,"Feb 5, 2020",0,
Algeria,DZA,"Feb 6, 2020",0,
Algeria,DZA,"Feb 7, 2020",0,
Algeria,DZA,"Feb 8, 2020",0,
Algeria,DZA,"Feb 9, 2020",0,
Algeria,DZA,"Feb 10, 2020",0,
Algeria,DZA,"Feb 11, 2020",0,
Algeria,DZA,"Feb 12, 2020",0,
Algeria,DZA,"Feb 13, 2020",0,
Algeria,DZA,"Feb 14, 2020",0,
Algeria,DZA,"Feb 15, 2020",0,
Algeria,DZA,"Feb 16, 2020",0,
Algeria,DZA,"Feb 17, 2020",0,
Algeria,DZA,"Feb 18, 2020",0,
Algeria,DZA,"Feb 19, 2020",0,
Algeria,DZA,"Feb 20, 2020",0,
Algeria,DZA,"Feb 21, 2020",0,
Algeria,DZA,"Feb 22, 2020",0,
Algeria,DZA,"Feb 23, 2020",0,
Algeria,DZA,"Feb 24, 2020",0,
Algeria,DZA,"Feb 25, 2020",0,
Algeria,DZA,"Feb 26, 2020",0,
Algeria,DZA,"Feb 27, 2020",0,
Algeria,DZA,"Feb 28, 2020",0,
Algeria,DZA,"Feb 29, 2020",0,
Algeria,DZA,"Mar 1, 2020",0,
Algeria,DZA,"Mar 2, 2020",0,
Algeria,DZA,"Mar 4, 2020",0,
Algeria,DZA,"Mar 5, 2020",0,
Algeria,DZA,"Mar 6, 2020",0,
Algeria,DZA,"Mar 9, 2020",0,
Algeria,DZA,"Mar 12, 2020",0,
Algeria,DZA,"Mar 13, 2020",1,
Algeria,DZA,"Mar 14, 2020",2,
Algeria,DZA,"Mar 15, 2020",2,
Algeria,DZA,"Mar 16, 2020",4,
Algeria,DZA,"Mar 17, 2020",4,
Algeria,DZA,"Mar 18, 2020",5,0
Algeria,DZA,"Mar 19, 2020",6,1
Algeria,DZA,"Mar 20, 2020",7,2
Algeria,DZA,"Mar 21, 2020",10,3
Algeria,DZA,"Mar 22, 2020",10,4
Algeria,DZA,"Mar 23, 2020",15,5
Algeria,DZA,"Mar 24, 2020",17,6
Algeria,DZA,"Mar 25, 2020",17,7
Algeria,DZA,"Mar 26, 2020",17,8
Algeria,DZA,"Mar 27, 2020",21,9
Algeria,DZA,"Mar 28, 2020",21,10
Algeria,DZA,"Mar 29, 2020",26,11
Andorra,AND,"Mar 3, 2020",0,
Andorra,AND,"Mar 14, 2020",0,
Andorra,AND,"Mar 16, 2020",0,
Andorra,AND,"Mar 17, 2020",0,
Andorra,AND,"Mar 18, 2020",0,
Andorra,AND,"Mar 19, 2020",0,
Andorra,AND,"Mar 20, 2020",0,
Andorra,AND,"Mar 21, 2020",0,
Andorra,AND,"Mar 22, 2020",0,
Andorra,AND,"Mar 23, 2020",0,
Andorra,AND,"Mar 24, 2020",0,
Andorra,AND,"Mar 25, 2020",0,
Andorra,AND,"Mar 26, 2020",0,
Andorra,AND,"Mar 27, 2020",3,
Andorra,AND,"Mar 28, 2020",3,
Andorra,AND,"Mar 29, 2020",4,
Angola,AGO,"Mar 22, 2020",0,
Angola,AGO,"Mar 23, 2020",0,
Angola,AGO,"Mar 24, 2020",0,
Angola,AGO,"Mar 25, 2020",0,
Angola,AGO,"Mar 26, 2020",0,
Angola,AGO,"Mar 27, 2020",0,
Angola,AGO,"Mar 28, 2020",0,
Angola,AGO,"Mar 29, 2020",0,
Anguilla,AIA,"Mar 27, 2020",0,
Anguilla,AIA,"Mar 28, 2020",0,
Anguilla,AIA,"Mar 29, 2020",0,
Antigua and Barbuda,ATG,"Mar 15, 2020",0,
Antigua and Barbuda,ATG,"Mar 21, 2020",0,
Antigua and Barbuda,ATG,"Mar 22, 2020",0,
Antigua and Barbuda,ATG,"Mar 23, 2020",0,
Antigua and Barbuda,ATG,"Mar 24, 2020",0,
Antigua and Barbuda,ATG,"Mar 25, 2020",0,
Antigua and Barbuda,ATG,"Mar 26, 2020",0,
Antigua and Barbuda,ATG,"Mar 27, 2020",0,
Antigua and Barbuda,ATG,"Mar 28, 2020",0,
Antigua and Barbuda,ATG,"Mar 29, 2020",0,
Argentina,ARG,"Mar 4, 2020",0,
Argentina,ARG,"Mar 6, 2020",0,
Argentina,ARG,"Mar 7, 2020",0,
Argentina,ARG,"Mar 8, 2020",1,
Argentina,ARG,"Mar 9, 2020",1,
Argentina,ARG,"Mar 11, 2020",1,
Argentina,ARG,"Mar 13, 2020",1,
Argentina,ARG,"Mar 14, 2020",2,
Argentina,ARG,"Mar 15, 2020",2,
Argentina,ARG,"Mar 16, 2020",2,
Argentina,ARG,"Mar 17, 2020",2,
Argentina,ARG,"Mar 18, 2020",2,
Argentina,ARG,"Mar 19, 2020",2,
Argentina,ARG,"Mar 20, 2020",3,
Argentina,ARG,"Mar 21, 2020",3,
Argentina,ARG,"Mar 22, 2020",4,
Argentina,ARG,"Mar 23, 2020",4,
Argentina,ARG,"Mar 24, 2020",4,
Argentina,ARG,"Mar 25, 2020",6,0
Argentina,ARG,"Mar 26, 2020",8,1
Argentina,ARG,"Mar 27, 2020",12,2
Argentina,ARG,"Mar 28, 2020",17,3
Argentina,ARG,"Mar 29, 2020",19,4
Armenia,ARM,"Dec 31, 2019",0,
Armenia,ARM,"Jan 1, 2020",0,
Armenia,ARM,"Jan 2, 2020",0,
Armenia,ARM,"Jan 3, 2020",0,
Armenia,ARM,"Jan 4, 2020",0,
Armenia,ARM,"Jan 5, 2020",0,
Armenia,ARM,"Jan 6, 2020",0,
Armenia,ARM,"Jan 7, 2020",0,
Armenia,ARM,"Jan 8, 2020",0,
Armenia,ARM,"Jan 9, 2020",0,
Armenia,ARM,"Jan 10, 2020",0,
Armenia,ARM,"Jan 11, 2020",0,
Armenia,ARM,"Jan 12, 2020",0,
Armenia,ARM,"Jan 13, 2020",0,
Armenia,ARM,"Jan 14, 2020",0,
Armenia,ARM,"Jan 15, 2020",0,
Armenia,ARM,"Jan 16, 2020",0,
Armenia,ARM,"Jan 17, 2020",0,
Armenia,ARM,"Jan 18, 2020",0,
Armenia,ARM,"Jan 19, 2020",0,
Armenia,ARM,"Jan 20, 2020",0,
Armenia,ARM,"Jan 21, 2020",0,
Armenia,ARM,"Jan 22, 2020",0,
Armenia,ARM,"Jan 23, 2020",0,
Armenia,ARM,"Jan 24, 2020",0,
Armenia,ARM,"Jan 25, 2020",0,
Armenia,ARM,"Jan 26, 2020",0,
Armenia,ARM,"Jan 27, 2020",0,
Armenia,ARM,"Jan 28, 2020",0,
Armenia,ARM,"Jan 29, 2020",0,
Armenia,ARM,"Jan 30, 2020",0,
Armenia,ARM,"Jan 31, 2020",0,
Armenia,ARM,"Feb 1, 2020",0,
Armenia,ARM,"Feb 2, 2020",0,
Armenia,ARM,"Feb 3, 2020",0,
Armenia,ARM,"Feb 4, 2020",0,
Armenia,ARM,"Feb 5, 2020",0,
Armenia,ARM,"Feb 6, 2020",0,
Armenia,ARM,"Feb 7, 2020",0,
Armenia,ARM,"Feb 8, 2020",0,
Armenia,ARM,"Feb 9, 2020",0,
Armenia,ARM,"Feb 10, 2020",0,
Armenia,ARM,"Feb 11, 2020",0,
Armenia,ARM,"Feb 12, 2020",0,
Armenia,ARM,"Feb 13, 2020",0,
Armenia,ARM,"Feb 14, 2020",0,
Armenia,ARM,"Feb 15, 2020",0,
Armenia,ARM,"Feb 16, 2020",0,
Armenia,ARM,"Feb 17, 2020",0,
Armenia,ARM,"Feb 18, 2020",0,
Armenia,ARM,"Feb 19, 2020",0,
Armenia,ARM,"Feb 20, 2020",0,
Armenia,ARM,"Feb 21, 2020",0,
Armenia,ARM,"Feb 22, 2020",0,
Armenia,ARM,"Feb 23, 2020",0,
Armenia,ARM,"Feb 24, 2020",0,
Armenia,ARM,"Feb 25, 2020",0,
Armenia,ARM,"Feb 26, 2020",0,
Armenia,ARM,"Feb 27, 2020",0,
Armenia,ARM,"Feb 28, 2020",0,
Armenia,ARM,"Feb 29, 2020",0,
Armenia,ARM,"Mar 1, 2020",0,
Armenia,ARM,"Mar 2, 2020",0,
Armenia,ARM,"Mar 12, 2020",0,
Armenia,ARM,"Mar 13, 2020",0,
Armenia,ARM,"Mar 14, 2020",0,
Armenia,ARM,"Mar 15, 2020",0,
Armenia,ARM,"Mar 16, 2020",0,
Armenia,ARM,"Mar 17, 2020",0,
Armenia,ARM,"Mar 18, 2020",0,
Armenia,ARM,"Mar 19, 2020",0,
Armenia,ARM,"Mar 20, 2020",0,
Armenia,ARM,"Mar 21, 2020",0,
Armenia,ARM,"Mar 22, 2020",0,
Armenia,ARM,"Mar 23, 2020",0,
Armenia,ARM,"Mar 24, 2020",0,
Armenia,ARM,"Mar 25, 2020",0,
Armenia,ARM,"Mar 26, 2020",0,
Armenia,ARM,"Mar 27, 2020",1,
Armenia,ARM,"Mar 28, 2020",1,
Armenia,ARM,"Mar 29, 2020",3,
Aruba,ABW,"Mar 13, 2020",0,
Aruba,ABW,"Mar 20, 2020",0,
Aruba,ABW,"Mar 24, 2020",0,
Aruba,ABW,"Mar 25, 2020",0,
Aruba,ABW,"Mar 26, 2020",0,
Aruba,ABW,"Mar 27, 2020",0,
Aruba,ABW,"Mar 28, 2020",0,
Aruba,ABW,"Mar 29, 2020",0,
Australia,AUS,"Dec 31, 2019",0,
Australia,AUS,"Jan 1, 2020",0,
Australia,AUS,"Jan 2, 2020",0,
Australia,AUS,"Jan 3, 2020",0,
Australia,AUS,"Jan 4, 2020",0,
Australia,AUS,"Jan 5, 2020",0,
Australia,AUS,"Jan 6, 2020",0,
Australia,AUS,"Jan 7, 2020",0,
Australia,AUS,"Jan 8, 2020",0,
Australia,AUS,"Jan 9, 2020",0,
Australia,AUS,"Jan 10, 2020",0,
Australia,AUS,"Jan 11, 2020",0,
Australia,AUS,"Jan 12, 2020",0,
Australia,AUS,"Jan 13, 2020",0,
Australia,AUS,"Jan 14, 2020",0,
Australia,AUS,"Jan 15, 2020",0,
Australia,AUS,"Jan 16, 2020",0,
Australia,AUS,"Jan 17, 2020",0,
Australia,AUS,"Jan 18, 2020",0,
Australia,AUS,"Jan 19, 2020",0,
Australia,AUS,"Jan 20, 2020",0,
Australia,AUS,"Jan 21, 2020",0,
Australia,AUS,"Jan 22, 2020",0,
Australia,AUS,"Jan 23, 2020",0,
Australia,AUS,"Jan 24, 2020",0,
Australia,AUS,"Jan 25, 2020",0,
Australia,AUS,"Jan 26, 2020",0,
Australia,AUS,"Jan 27, 2020",0,
Australia,AUS,"Jan 28, 2020",0,
Australia,AUS,"Jan 29, 2020",0,
Australia,AUS,"Jan 30, 2020",0,
Australia,AUS,"Jan 31, 2020",0,
Australia,AUS,"Feb 1, 2020",0,
Australia,AUS,"Feb 2, 2020",0,
Australia,AUS,"Feb 3, 2020",0,
Australia,AUS,"Feb 4, 2020",0,
Australia,AUS,"Feb 5, 2020",0,
Australia,AUS,"Feb 6, 2020",0,
Australia,AUS,"Feb 7, 2020",0,
Australia,AUS,"Feb 8, 2020",0,
Australia,AUS,"Feb 9, 2020",0,
Australia,AUS,"Feb 10, 2020",0,
Australia,AUS,"Feb 11, 2020",0,
Australia,AUS,"Feb 12, 2020",0,
Australia,AUS,"Feb 13, 2020",0,
Australia,AUS,"Feb 14, 2020",0,
Australia,AUS,"Feb 15, 2020",0,
Australia,AUS,"Feb 16, 2020",0,
Australia,AUS,"Feb 17, 2020",0,
Australia,AUS,"Feb 18, 2020",0,
Australia,AUS,"Feb 19, 2020",0,
Australia,AUS,"Feb 20, 2020",0,
Australia,AUS,"Feb 21, 2020",0,
Australia,AUS,"Feb 22, 2020",0,
Australia,AUS,"Feb 23, 2020",0,
Australia,AUS,"Feb 24, 2020",0,
Australia,AUS,"Feb 25, 2020",0,
Australia,AUS,"Feb 26, 2020",0,
Australia,AUS,"Feb 27, 2020",0,
Australia,AUS,"Feb 28, 2020",0,
Australia,AUS,"Feb 29, 2020",0,
Australia,AUS,"Mar 1, 2020",1,
Australia,AUS,"Mar 2, 2020",1,
Australia,AUS,"Mar 3, 2020",1,
Australia,AUS,"Mar 4, 2020",1,
Australia,AUS,"Mar 5, 2020",2,
Australia,AUS,"Mar 6, 2020",2,
Australia,AUS,"Mar 7, 2020",2,
Australia,AUS,"Mar 8, 2020",3,
Australia,AUS,"Mar 9, 2020",3,
Australia,AUS,"Mar 10, 2020",3,
Australia,AUS,"Mar 11, 2020",3,
Australia,AUS,"Mar 12, 2020",3,
Australia,AUS,"Mar 13, 2020",3,
Australia,AUS,"Mar 14, 2020",3,
Australia,AUS,"Mar 15, 2020",3,
Australia,AUS,"Mar 16, 2020",5,0
Australia,AUS,"Mar 17, 2020",5,1
Australia,AUS,"Mar 18, 2020",5,2
Australia,AUS,"Mar 19, 2020",6,3
Australia,AUS,"Mar 20, 2020",6,4
Australia,AUS,"Mar 21, 2020",7,5
Australia,AUS,"Mar 22, 2020",7,6
Australia,AUS,"Mar 23, 2020",7,7
Australia,AUS,"Mar 24, 2020",7,8
Australia,AUS,"Mar 25, 2020",8,9
Australia,AUS,"Mar 26, 2020",11,10
Australia,AUS,"Mar 27, 2020",13,11
Australia,AUS,"Mar 28, 2020",13,12
Australia,AUS,"Mar 29, 2020",14,13
Austria,AUT,"Dec 31, 2019",0,
Austria,AUT,"Jan 1, 2020",0,
Austria,AUT,"Jan 2, 2020",0,
Austria,AUT,"Jan 3, 2020",0,
Austria,AUT,"Jan 4, 2020",0,
Austria,AUT,"Jan 5, 2020",0,
Austria,AUT,"Jan 6, 2020",0,
Austria,AUT,"Jan 7, 2020",0,
Austria,AUT,"Jan 8, 2020",0,
Austria,AUT,"Jan 9, 2020",0,
Austria,AUT,"Jan 10, 2020",0,
Austria,AUT,"Jan 11, 2020",0,
Austria,AUT,"Jan 12, 2020",0,
Austria,AUT,"Jan 13, 2020",0,
Austria,AUT,"Jan 14, 2020",0,
Austria,AUT,"Jan 15, 2020",0,
Austria,AUT,"Jan 16, 2020",0,
Austria,AUT,"Jan 17, 2020",0,
Austria,AUT,"Jan 18, 2020",0,
Austria,AUT,"Jan 19, 2020",0,
Austria,AUT,"Jan 20, 2020",0,
Austria,AUT,"Jan 21, 2020",0,
Austria,AUT,"Jan 22, 2020",0,
Austria,AUT,"Jan 23, 2020",0,
Austria,AUT,"Jan 24, 2020",0,
Austria,AUT,"Jan 25, 2020",0,
Austria,AUT,"Jan 26, 2020",0,
Austria,AUT,"Jan 27, 2020",0,
Austria,AUT,"Jan 28, 2020",0,
Austria,AUT,"Jan 29, 2020",0,
Austria,AUT,"Jan 30, 2020",0,
Austria,AUT,"Jan 31, 2020",0,
Austria,AUT,"Feb 1, 2020",0,
Austria,AUT,"Feb 2, 2020",0,
Austria,AUT,"Feb 3, 2020",0,
Austria,AUT,"Feb 4, 2020",0,
Austria,AUT,"Feb 5, 2020",0,
Austria,AUT,"Feb 6, 2020",0,
Austria,AUT,"Feb 7, 2020",0,
Austria,AUT,"Feb 8, 2020",0,
Austria,AUT,"Feb 9, 2020",0,
Austria,AUT,"Feb 10, 2020",0,
Austria,AUT,"Feb 11, 2020",0,
Austria,AUT,"Feb 12, 2020",0,
Austria,AUT,"Feb 13, 2020",0,
Austria,AUT,"Feb 14, 2020",0,
Austria,AUT,"Feb 15, 2020",0,
Austria,AUT,"Feb 16, 2020",0,
Austria,AUT,"Feb 17, 2020",0,
Austria,AUT,"Feb 18, 2020",0,
Austria,AUT,"Feb 19, 2020",0,
Austria,AUT,"Feb 20, 2020",0,
Austria,AUT,"Feb 21, 2020",0,
Austria,AUT,"Feb 22, 2020",0,
Austria,AUT,"Feb 23, 2020",0,
Austria,AUT,"Feb 24, 2020",0,
Austria,AUT,"Feb 25, 2020",0,
Austria,AUT,"Feb 26, 2020",0,
Austria,AUT,"Feb 27, 2020",0,
Austria,AUT,"Feb 28, 2020",0,
Austria,AUT,"Feb 29, 2020",0,
Austria,AUT,"Mar 1, 2020",0,
Austria,AUT,"Mar 2, 2020",0,
Austria,AUT,"Mar 3, 2020",0,
Austria,AUT,"Mar 4, 2020",0,
Austria,AUT,"Mar 5, 2020",0,
Austria,AUT,"Mar 6, 2020",0,
Austria,AUT,"Mar 7, 2020",0,
Austria,AUT,"Mar 8, 2020",0,
Austria,AUT,"Mar 9, 2020",0,
Austria,AUT,"Mar 10, 2020",0,
Austria,AUT,"Mar 11, 2020",0,
Austria,AUT,"Mar 12, 2020",0,
Austria,AUT,"Mar 13, 2020",1,
Austria,AUT,"Mar 14, 2020",1,
Austria,AUT,"Mar 15, 2020",1,
Austria,AUT,"Mar 16, 2020",1,
Austria,AUT,"Mar 17, 2020",3,
Austria,AUT,"Mar 18, 2020",3,
Austria,AUT,"Mar 19, 2020",4,
Austria,AUT,"Mar 20, 2020",6,0
Austria,AUT,"Mar 21, 2020",6,1
Austria,AUT,"Mar 22, 2020",8,2
Austria,AUT,"Mar 23, 2020",16,3
Austria,AUT,"Mar 24, 2020",25,4
Austria,AUT,"Mar 25, 2020",30,5
Austria,AUT,"Mar 26, 2020",34,6
Austria,AUT,"Mar 27, 2020",52,7
Austria,AUT,"Mar 28, 2020",68,8
Austria,AUT,"Mar 29, 2020",68,9
Azerbaijan,AZE,"Dec 31, 2019",0,
Azerbaijan,AZE,"Jan 1, 2020",0,
Azerbaijan,AZE,"Jan 2, 2020",0,
Azerbaijan,AZE,"Jan 3, 2020",0,
Azerbaijan,AZE,"Jan 4, 2020",0,
Azerbaijan,AZE,"Jan 5, 2020",0,
Azerbaijan,AZE,"Jan 6, 2020",0,
Azerbaijan,AZE,"Jan 7, 2020",0,
Azerbaijan,AZE,"Jan 8, 2020",0,
Azerbaijan,AZE,"Jan 9, 2020",0,
Azerbaijan,AZE,"Jan 10, 2020",0,
Azerbaijan,AZE,"Jan 11, 2020",0,
Azerbaijan,AZE,"Jan 12, 2020",0,
Azerbaijan,AZE,"Jan 13, 2020",0,
Azerbaijan,AZE,"Jan 14, 2020",0,
Azerbaijan,AZE,"Jan 15, 2020",0,
Azerbaijan,AZE,"Jan 16, 2020",0,
Azerbaijan,AZE,"Jan 17, 2020",0,
Azerbaijan,AZE,"Jan 18, 2020",0,
Azerbaijan,AZE,"Jan 19, 2020",0,
Azerbaijan,AZE,"Jan 20, 2020",0,
Azerbaijan,AZE,"Jan 21, 2020",0,
Azerbaijan,AZE,"Jan 22, 2020",0,
Azerbaijan,AZE,"Jan 23, 2020",0,
Azerbaijan,AZE,"Jan 24, 2020",0,
Azerbaijan,AZE,"Jan 25, 2020",0,
Azerbaijan,AZE,"Jan 26, 2020",0,
Azerbaijan,AZE,"Jan 27, 2020",0,
Azerbaijan,AZE,"Jan 28, 2020",0,
Azerbaijan,AZE,"Jan 29, 2020",0,
Azerbaijan,AZE,"Jan 30, 2020",0,
Azerbaijan,AZE,"Jan 31, 2020",0,
Azerbaijan,AZE,"Feb 1, 2020",0,
Azerbaijan,AZE,"Feb 2, 2020",0,
Azerbaijan,AZE,"Feb 3, 2020",0,
Azerbaijan,AZE,"Feb 4, 2020",0,
Azerbaijan,AZE,"Feb 5, 2020",0,
Azerbaijan,AZE,"Feb 6, 2020",0,
Azerbaijan,AZE,"Feb 7, 2020",0,
Azerbaijan,AZE,"Feb 8, 2020",0,
Azerbaijan,AZE,"Feb 9, 2020",0,
Azerbaijan,AZE,"Feb 10, 2020",0,
Azerbaijan,AZE,"Feb 11, 2020",0,
Azerbaijan,AZE,"Feb 12, 2020",0,
Azerbaijan,AZE,"Feb 13, 2020",0,
Azerbaijan,AZE,"Feb 14, 2020",0,
Azerbaijan,AZE,"Feb 15, 2020",0,
Azerbaijan,AZE,"Feb 16, 2020",0,
Azerbaijan,AZE,"Feb 17, 2020",0,
Azerbaijan,AZE,"Feb 18, 2020",0,
Azerbaijan,AZE,"Feb 19, 2020",0,
Azerbaijan,AZE,"Feb 20, 2020",0,
Azerbaijan,AZE,"Feb 21, 2020",0,
Azerbaijan,AZE,"Feb 22, 2020",0,
Azerbaijan,AZE,"Feb 23, 2020",0,
Azerbaijan,AZE,"Feb 24, 2020",0,
Azerbaijan,AZE,"Feb 25, 2020",0,
Azerbaijan,AZE,"Feb 26, 2020",0,
Azerbaijan,AZE,"Feb 27, 2020",0,
Azerbaijan,AZE,"Feb 28, 2020",0,
Azerbaijan,AZE,"Feb 29, 2020",0,
Azerbaijan,AZE,"Mar 1, 2020",0,
Azerbaijan,AZE,"Mar 2, 2020",0,
Azerbaijan,AZE,"Mar 6, 2020",0,
Azerbaijan,AZE,"Mar 7, 2020",0,
Azerbaijan,AZE,"Mar 11, 2020",0,
Azerbaijan,AZE,"Mar 12, 2020",0,
Azerbaijan,AZE,"Mar 13, 2020",0,
Azerbaijan,AZE,"Mar 15, 2020",0,
Azerbaijan,AZE,"Mar 16, 2020",0,
Azerbaijan,AZE,"Mar 17, 2020",0,
Azerbaijan,AZE,"Mar 18, 2020",0,
Azerbaijan,AZE,"Mar 19, 2020",0,
Azerbaijan,AZE,"Mar 20, 2020",0,
Azerbaijan,AZE,"Mar 21, 2020",1,
Azerbaijan,AZE,"Mar 22, 2020",1,
